,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
338,3D Printing For Dummies (For Dummies (Computer/Tech)),Richard Horne,4.2 out of 5,454 ratings,$17.99,Na,Architecture,"Publisher : For Dummies; 2nd edition (May 22, 2017)
Language : English
Paperback : 416 pages
ISBN-10 : 1119386314
ISBN-13 : 978-1119386315
Item Weight : 1.2 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na
339,Running Lean: Iterate from Plan A to a Plan That Works,Ash Maurya,4.7 out of 5,60 ratings,$21.99,Na,Business Development & Entrepreneurship,"Publisher : O'Reilly Media; 3rd edition (May 3, 2022)
Language : English
Hardcover : 367 pages
ISBN-10 : 1098108779
ISBN-13 : 978-1098108779
Item Weight : 1.4 pounds
Dimensions : 6.3 x 1 x 9 inches",Na,Na,Na,Na
340,Patterns of Enterprise Application Architecture,Martin Fowler,4.5 out of 5,653 ratings,$60.99,$38.46,Hardware & DIY,"Publisher : Addison-Wesley Professional; 1st edition (November 5, 2002)
Language : English
Hardcover : 560 pages
ISBN-10 : 0321127420
ISBN-13 : 978-0321127426
Item Weight : 2.44 pounds
Dimensions : 7.7 x 1.6 x 9.4 inches",,Na,Na,Na
341,Fanuc CNC Custom Macros (Volume 1),Peter Smid,4.4 out of 5,128 ratings,$79.95,Na,Engineering,"Publisher : Industrial Press, Inc.; Har/Cdr edition (January 11, 2004)
Language : English
Hardcover : 336 pages
ISBN-10 : 0831131578
ISBN-13 : 978-0831131579
Item Weight : 1.82 pounds
Dimensions : 8 x 0.75 x 10.2 inches",Na,Na,Na,Na
342,"Introduction to Computation and Programming Using Python, third edition: With Application to Computational Modeling and Understanding Data",John V. Guttag,4.6 out of 5,128 ratings,$55.00,$22.15,Programming,"ASIN : 0262542366
Publisher : The MIT Press; 3rd edition (January 5, 2021)
Language : English
Paperback : 496 pages
ISBN-10 : 0262045788
ISBN-13 : 978-0262542364
Item Weight : 2.2 pounds
Dimensions : 7 x 1.32 x 9.06 inches",,Na,Na,Na
343,SketchUp For Dummies,Mark Harrison,4.4 out of 5,175 ratings,$26.49,Na,Engineering,"Publisher : For Dummies; 2nd edition (September 1, 2020)
Language : English
Paperback : 480 pages
ISBN-10 : 1119617936
ISBN-13 : 978-1119617938
Reading age : 1 year and up
Item Weight : 2.15 pounds
Dimensions : 7.4 x 0.9 x 9.1 inches",Na,#1 Best Seller,in 3D Graphic Design,Na
344,Murach's MySQL (3rd Edition),Joel Murach,4.6 out of 5,403 ratings,$57.50,$28.75,Databases & Big Data,"Publisher : Mike Murach & Associates; 3rd edition (March 22, 2019)
Language : English
Paperback : 628 pages
ISBN-10 : 1943872368
ISBN-13 : 978-1943872367
Item Weight : 2.75 pounds
Dimensions : 7.9 x 1.5 x 9.8 inches",,Na,Na,Na
345,A Practical Guide to SysML: The Systems Modeling Language (The MK/OMG Press),Alan Moore,4.6 out of 5,126 ratings,$44.96,$31.74,Programming,"Publisher : Morgan Kaufmann; 3rd edition (November 7, 2014)
Language : English
Paperback : 630 pages
ISBN-10 : 0128002026
ISBN-13 : 978-0128002025
Item Weight : 2.43 pounds
Dimensions : 7.5 x 1.42 x 9.25 inches",,Na,Na,Na
346,React Key Concepts: Consolidate your knowledge of React's core features,Maximilian Schwarzmuller,4.8 out of 5,20 ratings,$40.49,Na,Web Development & Design,"Publisher : Packt Publishing (December 26, 2022)
Language : English
Paperback : 590 pages
ISBN-10 : 1803234504
ISBN-13 : 978-1803234502
Item Weight : 2.21 pounds
Dimensions : 7.5 x 1.33 x 9.25 inches",Na,Na,Na,Na
347,The Art of Statistics: How to Learn from Data,David Spiegelhalter,4.6 out of 5,"2,987 ratings",$17.99,Na,Mathematics,"Publisher : Basic Books (August 17, 2021)
Language : English
Paperback : 448 pages
ISBN-10 : 1541675703
ISBN-13 : 978-1541675704
Item Weight : 13.3 ounces
Dimensions : 5.5 x 1.25 x 8.5 inches",Na,Na,Na,Na
348,"Effective Data Storytelling: How to Drive Change with Data, Narrative and Visuals",Brent Dykes,4.6 out of 5,227 ratings,$38.36,Na,Skills,"Publisher : Wiley; 1st edition (December 17, 2019)
Language : English
Hardcover : 336 pages
ISBN-10 : 1119615712
ISBN-13 : 978-1119615712
Item Weight : 1.5 pounds
Dimensions : 5.9 x 1.1 x 9.1 inches",Na,Na,Na,Na
349,Hard Real-Time Embedded Software Development,Timothy R. Cooper,Na,Na,$69.95,Na,Computer Science,"ASIN : B0BVTFSWSN
Publisher : Independently published (February 15, 2023)
Language : English
Paperback : 507 pages
ISBN-13 : 979-8375117072
Item Weight : 2.37 pounds
Dimensions : 7.5 x 1.15 x 9.25 inches",Na,Na,Na,Na
350,"RHCSA Red Hat Enterprise Linux 8 (UPDATED): Training and Exam Preparation Guide (EX200), Second Edition",Asghar Ghori,4.7 out of 5,257 ratings,$50.00,Na,Certification,"Publisher : Endeavor Technologies (November 13, 2020)
Language : English
Paperback : 620 pages
ISBN-10 : 1775062147
ISBN-13 : 978-1775062141
Item Weight : 2.4 pounds
Dimensions : 7.44 x 1.25 x 9.69 inches",Na,Na,Na,Na
351,Computer Science Illuminated,Nell Dale,4.4 out of 5,182 ratings,$118.00,$24.36,Computer Science,"Publisher : Jones & Bartlett Learning; 7th edition (January 31, 2019)
Language : English
Paperback : 745 pages
ISBN-10 : 1284155617
ISBN-13 : 978-1284155617
Item Weight : 2.06 pounds
Dimensions : 7.3 x 1 x 9 inches",,Na,Na,Na
352,"Workflow Automation with Microsoft Power Automate: Use business process automation to achieve digital transformation with minimal code, 2nd Edition",Aaron Guilmette,4.6 out of 5,40 ratings,$39.99,Na,Networking & Cloud Computing,"Publisher : Packt Publishing; 2nd ed. edition (August 19, 2022)
Language : English
Paperback : 420 pages
ISBN-10 : 1803237678
ISBN-13 : 978-1803237671
Item Weight : 1.59 pounds
Dimensions : 7.5 x 0.95 x 9.25 inches",Na,Na,Na,Na
353,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",Sebastian Raschka,4.5 out of 5,410 ratings,$46.79,Na,Computer Science,"Publisher : Packt Publishing; 3rd edition (December 12, 2019)
Language : English
Paperback : 772 pages
ISBN-10 : 1789955750
ISBN-13 : 978-1789955750
Item Weight : 2.87 pounds
Dimensions : 7.5 x 1.74 x 9.25 inches",Na,Na,Na,Na
354,About Face: The Essentials of Interaction Design,,4.6 out of 5,405 ratings,$50.00,$30.23,Computer Science,"Publisher : Wiley; 4th edition (September 2, 2014)
Language : English
Paperback : 720 pages
ISBN-10 : 1118766571
ISBN-13 : 978-1118766576
Item Weight : 3.71 pounds
Dimensions : 7.4 x 1.5 x 9.2 inches",,Na,Na,Na
355,"Art of Computer Programming, The: Combinatorial Algorithms, Volume 4B",Donald Knuth,4.9 out of 5,30 ratings,$61.27,Na,Programming,"Publisher : Addison-Wesley Professional; 1st edition (October 8, 2022)
Language : English
Hardcover : 736 pages
ISBN-10 : 0201038064
ISBN-13 : 978-0201038064
Item Weight : 3.84 pounds
Dimensions : 7.1 x 1.75 x 9.63 inches",Na,Na,Na,Na
356,Artificial Intelligence For Dummies (For Dummies (Computer/Tech)),John Paul Mueller,4.2 out of 5,13 ratings,$30.24,Na,Computer Science,"Publisher : For Dummies; 2nd edition (November 10, 2021)
Language : English
Paperback : 368 pages
ISBN-10 : 1119796768
ISBN-13 : 978-1119796763
Item Weight : 1.1 pounds
Dimensions : 7.38 x 0.83 x 9.25 inches",,Na,Na,Na
357,MacBook For Dummies,Mark L. Chambers,4.4 out of 5,314 ratings,$21.99,Na,Hardware & DIY,"Publisher : For Dummies; 9th edition (April 9, 2021)
Language : English
Paperback : 432 pages
ISBN-10 : 1119775663
ISBN-13 : 978-1119775669
Item Weight : 1.27 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na
358,"Python Flash Cards: Syntax, Concepts, and Examples",Eric Matthes,4.6 out of 5,414 ratings,$27.95,Na,Programming,"Publisher : No Starch Press; Flc Crds edition (January 15, 2019)
Language : English
Cards : 101 pages
ISBN-10 : 1593278969
ISBN-13 : 978-1593278960
Item Weight : 2.25 pounds
Dimensions : 5.5 x 2 x 7.5 inches",,Na,Na,Na
359,CompTIA Security+ Practice Tests: Exam SY0-601,David Seidl,4.4 out of 5,119 ratings,$22.99,Na,Certification,"Publisher : Sybex; 2nd edition (January 15, 2021)
Language : English
Paperback : 336 pages
ISBN-10 : 1119735467
ISBN-13 : 978-1119735465
Item Weight : 1.39 pounds
Dimensions : 7.3 x 0.7 x 9.2 inches",Na,Na,Na,Na
360,Database Internals: A Deep Dive into How Distributed Data Systems Work,Alex Petrov,4.7 out of 5,380 ratings,$33.49,Na,Business Technology,"Publisher : O'Reilly Media; 1st edition (November 5, 2019)
Language : English
Paperback : 370 pages
ISBN-10 : 1492040347
ISBN-13 : 978-1492040347
Item Weight : 1.3 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,Na,Na,Na
361,Test Driven Development: By Example,Kent Beck,4.4 out of 5,481 ratings,$44.99,Na,Programming,"ASIN : 0321146530
Publisher : Addison-Wesley Professional; 1st edition (November 8, 2002)
Language : English
Paperback : 240 pages
ISBN-10 : 9780321146533
ISBN-13 : 978-0321146533
Item Weight : 14.1 ounces
Dimensions : 7.38 x 0.55 x 9.25 inches",,Na,Na,Na
362,"The Little SAS® Book: A Primer, Sixth Edition",Lora D. Delwiche,4.6 out of 5,308 ratings,$49.99,Na,Mathematics,"Publisher : SAS Institute; 6th edition (October 11, 2019)
Language : English
Paperback : 364 pages
ISBN-10 : 1642952834
ISBN-13 : 978-1642952834
Item Weight : 1.38 pounds
Dimensions : 7.5 x 0.82 x 9.25 inches",Na,Na,Na,Na
363,iPhone For Seniors For Dummies,Dwight Spivey,4.7 out of 5,7 ratings,$29.99,Na,Engineering,"Publisher : For Dummies; 12th edition (November 23, 2022)
Language : English
Paperback : 464 pages
ISBN-10 : 1119912849
ISBN-13 : 978-1119912842
Item Weight : 2 pounds
Dimensions : 7.4 x 1 x 9.2 inches",Na,Na,Na,Na
364,Effective TypeScript: 62 Specific Ways to Improve Your TypeScript,Dan Vanderkam,4.6 out of 5,249 ratings,$25.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (November 12, 2019)
Language : English
Paperback : 264 pages
ISBN-10 : 1492053740
ISBN-13 : 978-1492053743
Item Weight : 15 ounces
Dimensions : 7 x 0.55 x 9.19 inches",Na,Na,Na,Na
365,Systems Engineering Principles and Practice (Wiley Series in Systems Engineering and Management),,4.6 out of 5,52 ratings,$102.38,$14.48,Management & Leadership,"Publisher : Wiley; 3rd edition (July 8, 2020)
Language : English
Hardcover : 688 pages
ISBN-10 : 1119516668
ISBN-13 : 978-1119516668
Item Weight : 2.63 pounds
Dimensions : 6.3 x 1.3 x 9.1 inches",,Na,Na,Na
366,Project Zero Trust: A Story About a Strategy for Aligning Security and the Business,George Finney,4.8 out of 5,42 ratings,$0.00,Na,Networking & Cloud Computing,Na,,Na,Na,Na
367,Excel VBA Programming For Dummies (For Dummies (Computer/Tech)),Dick Kusleika,4.5 out of 5,56 ratings,$30.99,Na,Software,"Publisher : For Dummies; 6th edition (January 14, 2022)
Language : English
Paperback : 432 pages
ISBN-10 : 1119843073
ISBN-13 : 978-1119843078
Item Weight : 1.25 pounds
Dimensions : 7.38 x 0.98 x 9.25 inches",Na,Na,Na,Na
368,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),Zed Shaw,4.4 out of 5,953 ratings,$31.99,Na,Programming Languages,"Publisher : Addison-Wesley Professional; 1st edition (June 27, 2017)
Language : English
Paperback : 320 pages
ISBN-10 : 0134692888
ISBN-13 : 978-0134692883
Item Weight : 1.15 pounds
Dimensions : 7 x 0.73 x 9.13 inches",Na,Na,Na,Part of: Zed Shaw's Hard Way (5 books)
369,Zag: The Number One Strategy of High-Performance Brands,Marty Neumeier,4.6 out of 5,490 ratings,$32.99,Na,Marketing & Sales,"Publisher : New Riders; 1st edition (September 20, 2006)
Language : English
Paperback : 192 pages
ISBN-10 : 0321426770
ISBN-13 : 978-0321426772
Item Weight : 11.1 ounces
Dimensions : 5.35 x 0.65 x 7.9 inches",Na,Na,Na,Na
370,Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series),Brett Slatkin,4.7 out of 5,374 ratings,$40.86,Na,Programming Languages,"Publisher : Addison-Wesley Professional; 2nd edition (November 15, 2019)
Language : English
Paperback : 480 pages
ISBN-10 : 0134853989
ISBN-13 : 978-0134853987
Item Weight : 1.94 pounds
Dimensions : 7 x 0.9 x 9 inches",Na,Na,Na,Part of: Effective Software Development (13 books)
371,"Cloud Native AI and Machine Learning on AWS: Use SageMaker for building ML models, automate MLOps, and take advantage of numerous AWS AI services (English Edition)",Premkumar Rangarajan,5 out of 5,1 rating,Na,Na,Computers & Technology,"ASIN : B0BVQV9JBR
Publisher : BPB Publications; 1st edition (February 14, 2023)
Publication date : February 14, 2023
Language : English
File size : 7868 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 589 pages",Na,#1 New Release,in Cloud Computing,Na
372,Microsoft Project 2019 Step by Step,Carl Chatfield,4.5 out of 5,413 ratings,$32.93,Na,Management & Leadership,"Publisher : Microsoft Press; 1st edition (June 4, 2019)
Language : English
Paperback : 592 pages
ISBN-10 : 1509307427
ISBN-13 : 978-1509307425
Item Weight : 2.12 pounds
Dimensions : 7.4 x 1.3 x 9 inches",Na,Na,Na,Part of: Step by Step (51 books)
373,"Practical Autodesk AutoCAD 2023 and AutoCAD LT 2023: A beginner's guide to 2D drafting and 3D modeling with Autodesk AutoCAD, 2nd Edition",Yasser Shoukry,4.6 out of 5,5 ratings,$39.99,Na,Graphics & Design,"Publisher : Packt Publishing; 2nd ed. edition (October 28, 2022)
Language : English
Paperback : 674 pages
ISBN-10 : 1801816468
ISBN-13 : 978-1801816465
Item Weight : 2.51 pounds
Dimensions : 7.5 x 1.59 x 9.25 inches",Na,#1 Best Seller,in AutoCAD Books,Na
374,"Google Ads (AdWords) Workbook (2023): Advertising on Google Ads, YouTube, & the Display Network (2023 Marketing - Social Media, SEO, & Online Ads Books)",Jason McDonald,4.5 out of 5,186 ratings,$39.99,Na,Marketing & Sales,"ASIN : B0BL4VR5GN
Publisher : Independently published (November 1, 2022)
Language : English
Paperback : 377 pages
ISBN-13 : 979-8361665082
Item Weight : 2.37 pounds
Dimensions : 8.5 x 0.85 x 11 inches",Na,Na,Na,"Part of: 2023 Marketing - Social Media, SEO, & Online Ads Books (4 books)"
375,R For Dummies,Joris Meys,4.4 out of 5,502 ratings,$19.29,Na,Mathematics,"Publisher : For Dummies; 2nd edition (July 7, 2015)
Language : English
Paperback : 432 pages
ISBN-10 : 1119055806
ISBN-13 : 978-1119055808
Item Weight : 1.25 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na
376,Quantum Computing for Everyone (Mit Press),Chris Bernhardt,4.5 out of 5,414 ratings,$18.95,Na,Computer Science,"Publisher : The MIT Press; Reprint edition (September 8, 2020)
Language : English
Paperback : 216 pages
ISBN-10 : 0262539535
ISBN-13 : 978-0262539531
Item Weight : 10.4 ounces
Dimensions : 6.06 x 0.55 x 9 inches",Na,Na,Na,Na
377,Learning TypeScript: Enhance Your Web Development Skills Using Type-Safe JavaScript,Josh Goldberg,4.7 out of 5,39 ratings,$38.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (July 12, 2022)
Language : English
Paperback : 318 pages
ISBN-10 : 1098110331
ISBN-13 : 978-1098110338
Item Weight : 1.13 pounds
Dimensions : 7 x 0.5 x 9.25 inches",Na,Na,Na,Na
378,Machine Learning Engineering in Action,Ben Wilson,5 out of 5,10 ratings,$47.99,Na,Computer Science,"Publisher : Manning (April 26, 2022)
Language : English
Paperback : 576 pages
ISBN-10 : 1617298719
ISBN-13 : 978-1617298714
Item Weight : 2.12 pounds
Dimensions : 7.38 x 1.2 x 9.25 inches",Na,Na,Na,Na
379,Technology for Success and Shelly Cashman Series MicrosoftOffice 365 & Office 2019 (MindTap Course List),Sandra Cable,4.6 out of 5,582 ratings,$114.56,$26.99,Software,"Publisher : Cengage Learning; 1st edition (May 13, 2019)
Language : English
Paperback : 976 pages
ISBN-10 : 0357026381
ISBN-13 : 978-0357026380
Item Weight : 4.65 pounds
Dimensions : 8.5 x 1.5 x 11 inches",,Na,Na,Na
380,Podcasting For Dummies,Tee Morris,4.5 out of 5,197 ratings,$19.59,Na,Internet & Social Media,"Publisher : For Dummies; 4th edition (October 23, 2020)
Language : English
Paperback : 416 pages
ISBN-10 : 1119711819
ISBN-13 : 978-1119711810
Item Weight : 1.25 pounds
Dimensions : 7.3 x 1 x 9 inches",Na,Na,Na,Na
381,Discovering Statistics Using R,Andy Field,4.5 out of 5,508 ratings,$62.61,$17.85,Programming,"Publisher : SAGE Publications Ltd; 1st edition (April 5, 2012)
Language : English
Paperback : 992 pages
ISBN-10 : 1446200469
ISBN-13 : 978-1446200469
Item Weight : 5.07 pounds
Dimensions : 7.6 x 1.6 x 10.4 inches",,Na,Na,Na
382,Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,4.6 out of 5,698 ratings,$109.99,$46.20,Computer Science,"Publisher : Springer (August 17, 2006)
Language : English
Hardcover : 738 pages
ISBN-10 : 0387310738
ISBN-13 : 978-0387310732
Item Weight : 4.73 pounds
Dimensions : 7.7 x 1.3 x 10.2 inches",,Na,Na,Na
383,AWS Certified Cloud Practitioner Training Notes,Neal Davis,4.5 out of 5,283 ratings,$24.99,Na,Networking & Cloud Computing,"ASIN : B08RR5ZC1P
Publisher : Independently published (December 28, 2020)
Language : English
Paperback : 215 pages
ISBN-13 : 979-8587389229
Item Weight : 13.4 ounces
Dimensions : 7 x 0.49 x 10 inches",,Na,Na,Na
384,Programming: Principles and Practice Using C++ (2nd Edition),Bjarne Stroustrup,4.5 out of 5,716 ratings,$67.49,Na,Programming Languages,"ASIN : 0321992784
Publisher : Addison-Wesley Professional; 2nd edition (May 15, 2014)
Language : English
Paperback : 1312 pages
ISBN-10 : 0275967816
ISBN-13 : 978-0275967819
Item Weight : 4.81 pounds
Dimensions : 9.25 x 7.38 x 1.64 inches",Na,Na,Na,Na
385,Murach's Python Programming (2nd Edition),Michael Urban,4.6 out of 5,97 ratings,$48.78,$24.39,Programming,"Publisher : Mike Murach & Associates; 2nd edition (May 7, 2021)
Language : English
Paperback : 564 pages
ISBN-10 : 1943872740
ISBN-13 : 978-1943872749
Item Weight : 2.5 pounds
Dimensions : 8.25 x 1.25 x 10.25 inches",,Na,Na,Na
386,C# 10 in a Nutshell: The Definitive Reference,Joseph Albahari,4.5 out of 5,104 ratings,$55.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (March 15, 2022)
Language : English
Paperback : 1058 pages
ISBN-10 : 1098121953
ISBN-13 : 978-1098121952
Item Weight : 3 pounds
Dimensions : 6 x 2.25 x 9 inches",Na,Na,Na,Na
387,The Linux Programming Interface: A Linux and UNIX System Programming Handbook,Michael Kerrisk,4.8 out of 5,637 ratings,$67.84,$36.28,Operating Systems,"Publisher : No Starch Press; 1st edition (October 28, 2010)
Language : English
Hardcover : 1552 pages
ISBN-10 : 1593272200
ISBN-13 : 978-1593272203
Item Weight : 5.05 pounds
Dimensions : 7.25 x 2.29 x 9.5 inches",,Na,Na,Na
388,Exploring Arduino: Tools and Techniques for Engineering Wizardry,Jeremy Blum,4.7 out of 5,480 ratings,$33.76,Na,Engineering,"Publisher : Wiley; 2nd edition (November 19, 2019)
Language : English
Paperback : 512 pages
ISBN-10 : 1119405378
ISBN-13 : 978-1119405375
Item Weight : 2.61 pounds
Dimensions : 7.3 x 1.1 x 9.2 inches",Na,Na,Na,Na
389,"Excel 2023: The Easiest Way to Master Microsoft Excel in 7 Days. 200 Clear Illustrations and 100+ Exercises in This Step-by-Step Guide Designed for Absolute Newbie. Discover Formula, Charts and More",Leonard Webb,4.9 out of 5,322 ratings,$14.99,Na,Operating Systems,"ASIN : B0BKS8QXS4
Publisher : Independently published (October 28, 2022)
Language : English
Paperback : 131 pages
ISBN-13 : 979-8360854005
Item Weight : 12.5 ounces
Dimensions : 8 x 0.3 x 10 inches",Na,Na,Na,Na
390,Managing and Using Information Systems: A Strategic Approach,Keri E. Pearlson,4 out of 5,156 ratings,$126.39,$41.48,Management & Leadership,"Publisher : Wiley; 7th edition (December 5, 2019)
Language : English
Paperback : 368 pages
ISBN-10 : 111956056X
ISBN-13 : 978-1119560562
Item Weight : 1.7 pounds
Dimensions : 8.4 x 0.7 x 10.7 inches",,Na,Na,Na
391,Microsoft Azure Fundamentals Certification and Beyond: Simplified cloud concepts and core Azure fundamentals for absolute beginners to pass the AZ-900 exam,Peter De Tender,4.7 out of 5,51 ratings,$33.29,Na,Certification,"Publisher : Packt Publishing (January 7, 2022)
Language : English
Paperback : 424 pages
ISBN-10 : 1801073309
ISBN-13 : 978-1801073301
Item Weight : 1.6 pounds
Dimensions : 7.5 x 0.96 x 9.25 inches",Na,Na,Na,Na
392,Essentials of Human Anatomy & Physiology Laboratory Manual,Elaine Marieb,4.7 out of 5,320 ratings,$66.65,Na,Science & Mathematics,"ASIN : 0134424832
Publisher : Pearson; 7th edition (January 3, 2017)
Language : English
Spiral-bound : 384 pages
ISBN-10 : 9780134424835
ISBN-13 : 978-0134424835
Item Weight : 1.63 pounds
Dimensions : 8.8 x 0.6 x 10.7 inches",,Na,Na,Na
393,Python Pocket Reference: Python In Your Pocket (Pocket Reference (O'Reilly)),Mark Lutz,4.5 out of 5,868 ratings,$13.79,Na,Programming,"Publisher : O'Reilly Media; Fifth edition (March 11, 2014)
Language : English
Paperback : 262 pages
ISBN-10 : 1449357016
ISBN-13 : 978-1449357016
Item Weight : 6.6 ounces
Dimensions : 4.25 x 0.5 x 7 inches",Na,Na,Na,Part of: Pocket Reference (O'Reilly) (34 books)
394,Building Java Programs: A Back to Basics Approach,Marty Stepp,4.6 out of 5,86 ratings,$138.66,$73.36,Programming Languages,"Publisher : Pearson; 5th edition (March 18, 2019)
Language : English
Paperback : 1232 pages
ISBN-10 : 013547194X
ISBN-13 : 978-0135471944
Item Weight : 3.53 ounces
Dimensions : 7.45 x 1.6 x 9.1 inches",,Na,Na,Na
395,"Programming in Lua, fourth edition",Roberto Ierusalimschy,4.6 out of 5,322 ratings,$28.99,Na,Computer Science,"Publisher : Lua.Org (August 1, 2016)
Language : English
Paperback : 388 pages
ISBN-10 : 8590379868
ISBN-13 : 978-8590379867
Item Weight : 1.52 pounds
Dimensions : 7.44 x 0.8 x 9.69 inches",Na,Na,Na,Na
396,Adobe Photoshop Lightroom Classic Classroom in a Book (2022 release),Rafael Concepcion,4.5 out of 5,55 ratings,$63.13,Na,Graphics & Design,"Publisher : Adobe Press; 1st edition (March 14, 2022)
Language : English
Paperback : 448 pages
ISBN-10 : 0137625154
ISBN-13 : 978-0137625154
Item Weight : 2.03 pounds
Dimensions : 7.3 x 1 x 9 inches",Na,Na,Na,Part of: Classroom in a Book (142 books)
397,Logic Pro - Apple Pro Training Series: Professional Music Production,David Nahmani,4.5 out of 5,10 ratings,$59.03,Na,Computer Science,"Publisher : Peachpit Press; 1st edition (May 19, 2022)
Language : English
Paperback : 560 pages
ISBN-10 : 013790410X
ISBN-13 : 978-0137904105
Item Weight : 2.43 pounds
Dimensions : 7.38 x 1 x 9.25 inches",Na,Na,Na,Part of: Apple Pro Training (63 books)
398,AWS Cookbook: Recipes for Success on AWS,John Culkin,4.6 out of 5,123 ratings,$46.99,Na,Software,"Publisher : O'Reilly Media; 1st edition (December 28, 2021)
Language : English
Paperback : 358 pages
ISBN-10 : 1492092606
ISBN-13 : 978-1492092605
Item Weight : 1.26 pounds
Dimensions : 7 x 0.75 x 9.25 inches",Na,Na,Na,Na
399,"Mathletics: How Gamblers, Managers, and Fans Use Mathematics in Sports, Second Edition",Scott Nestler,4.7 out of 5,34 ratings,$18.99,Na,Mathematics,"Publisher : Princeton University Press; 2nd edition (February 22, 2022)
Language : English
Paperback : 608 pages
ISBN-10 : 0691177627
ISBN-13 : 978-0691177625
Item Weight : 1.9 pounds
Dimensions : 6.25 x 1 x 9.25 inches",Na,Na,Na,Na
